date,code,name,open,high,low,close,volume,change_rate
2026-09-09,000660,SK하이닉스,0,0,0,1856000,3526484,3.51
2026-09-09,005930,삼성전자,0,0,0,269500,16370962,0.0
2026-09-09,032820,우리기술,0,0,0,14320,39276784,21.25
2026-09-09,386380,스카이랩스,0,0,0,30300,17557188,1.85
2026-09-09,010170,대한광통신,0,0,0,14960,30155856,9.2
2026-09-09,006400,삼성SDI,0,0,0,574000,636357,8.3
2026-09-09,034020,두산에너빌리티,0,0,0,91700,3708953,2.46
2026-09-09,096770,SK이노베이션,0,0,0,153500,1924456,11.23
2026-09-09,047040,대우건설,0,0,0,19450,14799787,-2.6
2026-09-09,069540,빛과전자,0,0,0,3810,69786362,4.67
2026-09-09,012210,삼미금속,0,0,0,13030,19589402,29.91
2026-09-09,000500,가온전선,0,0,0,265500,685340,16.7
2026-09-09,105560,KB금융,0,0,0,172000,1016424,-0.98
2026-09-09,336260,두산퓨얼셀,0,0,0,53900,3041549,9.44
2026-09-09,353200,대덕전자,0,0,0,106100,1507419,6.21
2026-09-09,035420,NAVER,0,0,0,210000,732219,-2.1
2026-09-09,004310,현대약품,0,0,0,10300,14616143,-1.34
2026-09-09,066970,엘앤에프,0,0,0,127000,1144154,11.7
2026-09-09,053260,금강철강,0,0,0,7990,17099093,19.97
2026-09-09,052690,한전기술,0,0,0,143100,944222,0.35
2026-09-09,001440,대한전선,0,0,0,31100,4107384,8.17
2026-09-09,000720,현대건설,0,0,0,133600,873138,1.67
2026-09-09,079650,서산,0,0,0,7830,14700321,1.95
2026-09-09,162300,신스틸,0,0,0,2765,38987365,11.94
2026-09-09,000270,기아,0,0,0,126800,836910,1.12
2026-09-09,055550,신한지주,0,0,0,110600,958127,-2.3
2026-09-09,086790,하나금융지주,0,0,0,134000,788931,-2.05
2026-09-09,009830,한화솔루션,0,0,0,30800,3283849,5.66
2026-09-09,475150,SK이터닉스,0,0,0,53200,1800027,4.31
2026-09-09,000990,DB하이텍,0,0,0,111500,845359,7.83
2026-09-09,003490,대한항공,0,0,0,29800,3050070,-1.0
2026-09-09,015760,한국전력,0,0,0,33750,2612403,-1.03
2026-09-09,028050,삼성E&A,0,0,0,50800,1682372,3.36
2026-09-09,001820,삼화콘덴서,0,0,0,116300,704669,4.12
2026-09-09,078930,GS,0,0,0,122100,652694,-1.93
2026-09-09,042660,한화오션,0,0,0,88100,890194,2.32
2026-09-09,316140,우리금융지주,0,0,0,33500,2322235,-1.62
2026-09-09,082740,한화엔진,0,0,0,49150,1485831,7.67
2026-09-09,067290,JW신약,0,0,0,3865,18688276,-0.64
2026-09-09,017900,광전자,0,0,0,8220,8597061,0.49
2026-09-09,017670,SK텔레콤,0,0,0,91300,714751,-1.19
2026-09-09,006360,GS건설,0,0,0,35550,1647382,0.85
2026-09-09,047050,포스코인터내셔널,0,0,0,58000,973030,6.81
2026-09-09,010140,삼성중공업,0,0,0,21600,2347725,1.41
2026-09-09,010580,에스엠벡셀,0,0,0,2540,19541680,21.24
2026-09-09,006340,대원전선,0,0,0,13500,3627484,3.45
2026-09-09,093370,후성,0,0,0,13350,3481969,2.93
2026-09-09,011170,롯데케미칼,0,0,0,67800,674163,18.12
2026-09-09,035720,카카오,0,0,0,35050,1299529,-0.99
2026-09-09,004770,써니전자,0,0,0,2260,19979357,4.63
2026-09-09,375500,DL이앤씨,0,0,0,81200,472131,3.31
2026-09-09,002990,금호건설,0,0,0,15640,2406361,-0.06
2026-09-09,034220,LG디스플레이,0,0,0,8950,4195611,0.11
2026-09-09,001210,금호전기,0,0,0,12070,2436626,-1.95
2026-09-09,120110,코오롱인더,0,0,0,56900,479087,3.27
2026-09-09,112610,씨에스윈드,0,0,0,50800,509067,5.07
2026-09-09,092790,넥스틸,0,0,0,13310,1832924,1.37
2026-09-09,317400,자이에스앤디,0,0,0,10010,2374645,-7.31
2026-09-09,001450,현대해상,0,0,0,49000,480484,-2.58
2026-09-09,361610,SK아이이테크놀로지,0,0,0,17770,1249060,9.35
2026-09-09,028670,팬오션,0,0,0,6010,3600259,-1.15
2026-09-09,090460,비에이치,0,0,0,19940,1081950,1.37
2026-09-09,105840,우진,0,0,0,15660,1364235,9.13
2026-09-09,020150,롯데에너지머티리얼즈,0,0,0,41650,474827,14.11
2026-09-09,004020,현대제철,0,0,0,33650,540211,2.44
2026-09-09,011200,HMM,0,0,0,20850,837134,-1.42
2026-09-09,088350,한화생명,0,0,0,5710,3046906,-2.39
2026-09-09,014280,금강공업,0,0,0,4745,3325503,9.21
2026-09-09,130660,한전산업,0,0,0,13450,987571,1.36
2026-09-09,020120,키다리스튜디오,0,0,0,7960,1633269,20.61
2026-09-09,024110,기업은행,0,0,0,20600,622184,-0.96
2026-09-09,003350,한국화장품제조,0,0,0,13340,821729,2.54
2026-09-09,138930,BNK금융지주,0,0,0,15520,685867,-0.45
2026-09-09,452260,한화갤러리아,0,0,0,2565,4120256,9.15
2026-09-09,032640,LG유플러스,0,0,0,14910,690856,0.2
2026-09-09,002710,TCC스틸,0,0,0,12020,811917,10.07
2026-09-09,465770,STX그린로지스,0,0,0,3530,2731311,-7.11
2026-09-09,003010,혜인,0,0,0,8760,942845,1.15
2026-09-09,100090,SK오션플랜트,0,0,0,13010,585306,0.93
2026-09-09,003280,흥아해운,0,0,0,1760,4310460,0.0
2026-09-09,073240,금호타이어,0,0,0,7100,1068304,-1.93
2026-09-09,249420,일동제약,0,0,0,15940,462209,0.0
2026-09-09,001510,SK증권,0,0,0,2515,2917042,2.24
2026-09-09,018880,한온시스템,0,0,0,3515,1967353,1.88
2026-09-09,088980,맥쿼리인프라,0,0,0,9870,677218,-0.7
2026-09-09,000370,한화손해보험,0,0,0,7890,694457,-3.19
2026-09-09,003530,한화투자증권,0,0,0,4845,1120345,-0.51
2026-09-09,001200,유진투자증권,0,0,0,4240,1149735,-1.74
2026-09-09,016740,두올,0,0,0,3980,1003245,8.15
2026-09-09,001740,SK네트웍스,0,0,0,6370,584064,-0.78
2026-09-09,008970,KBI동양철관,0,0,0,1170,2959574,-1.76
2026-09-09,071090,하이스틸,0,0,0,3260,870081,3.0
2026-09-09,058730,다스코,0,0,0,3480,656043,-0.85
2026-09-09,026940,부국철강,0,0,0,2260,930284,0.89
2026-09-09,005880,대한해운,0,0,0,2080,980903,-0.72
2026-09-09,000890,보해양조,0,0,0,1401,753865,0.86
2026-09-09,006380,카프로,0,0,0,147,4338620,-20.54
2026-09-09,093240,형지엘리트,0,0,0,323,1654899,-7.71
2026-09-09,015260,에이엔피,0,0,0,303,1258546,-5.31
